timestamp,feature,value,normal_range,type
2021-05-23 06:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-23 07:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-23 08:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-23 09:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-23 10:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-23 11:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-24 04:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-24 05:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-24 06:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-24 07:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-24 08:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 03:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 04:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 05:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 06:00:00,temperature_c,42.22,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 07:00:00,temperature_c,42.22,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 08:00:00,temperature_c,42.22,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 09:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 10:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-26 11:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-27 06:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-27 07:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-27 08:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-29 06:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-29 07:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-29 08:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-29 09:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-29 10:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-29 11:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-31 06:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-31 07:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-31 08:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-31 09:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-31 10:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-31 11:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-08-05 14:00:00,load_kw,6011.28,0.00 to 5970.44 kW,Extreme Peak Load Surge
2021-08-13 07:00:00,load_kw,6193.58,0.00 to 5970.44 kW,Extreme Peak Load Surge
2021-08-14 11:00:00,load_kw,6306.21,0.00 to 5970.44 kW,Extreme Peak Load Surge
2021-08-14 12:00:00,load_kw,6301.79,0.00 to 5970.44 kW,Extreme Peak Load Surge
2021-08-14 13:00:00,load_kw,6025.3,0.00 to 5970.44 kW,Extreme Peak Load Surge
2021-08-15 10:00:00,load_kw,6064.81,0.00 to 5970.44 kW,Extreme Peak Load Surge
2021-12-15 21:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-15 22:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-15 23:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-16 18:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-16 19:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-16 20:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-16 21:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-16 22:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-16 23:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-17 21:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-17 22:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-17 23:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-18 18:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-18 19:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-18 20:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-18 21:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-18 22:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-18 23:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-19 21:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-19 22:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-19 23:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 00:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 01:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 02:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 15:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 16:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 17:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 18:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 19:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 20:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 21:00:00,temperature_c,10.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 22:00:00,temperature_c,10.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-20 23:00:00,temperature_c,10.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 00:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 01:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 02:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 15:00:00,temperature_c,13.33,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 16:00:00,temperature_c,13.33,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 17:00:00,temperature_c,13.33,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 18:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 19:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
