timestamp,load_kw,temperature_c,humidity_pct,is_weekend,season_code,substation_shutdown
2021-01-07 21:00:00,600.8830661617949,22.22222222222222,86,0,1,0
2021-01-07 22:00:00,540.7947595456153,22.22222222222222,86,0,1,0
2021-01-07 23:00:00,1882.7669406402906,22.22222222222222,86,0,1,0
2021-01-08 00:00:00,1863.5550330827366,23.333333333333332,89,0,1,0
2021-01-08 01:00:00,1863.5550330827366,23.333333333333332,89,0,1,0
2021-01-08 02:00:00,1863.5550330827366,23.333333333333332,89,0,1,0
2021-01-08 03:00:00,1863.5550330827366,27.22222222222222,47,0,1,0
2021-01-08 04:00:00,2589.01758562973,27.22222222222222,47,0,1,0
2021-01-08 05:00:00,3130.0063348657936,27.22222222222222,47,0,1,0
2021-01-08 06:00:00,4250.625886854781,29.444444444444443,32,0,1,0
2021-01-08 07:00:00,5047.660242872136,29.444444444444443,32,0,1,0
2021-01-08 08:00:00,4872.258921691251,29.444444444444443,32,0,1,0
2021-01-08 09:00:00,5134.6888677492425,28.333333333333332,35,0,1,0
2021-01-08 10:00:00,4378.4806813170935,28.333333333333332,35,0,1,0
2021-01-08 11:00:00,4092.697494220651,28.333333333333332,35,0,1,0
2021-01-08 12:00:00,4112.186529907416,23.88888888888889,69,0,1,0
2021-01-08 13:00:00,3929.89684266483,23.88888888888889,69,0,1,0
2021-01-08 14:00:00,3929.89684266483,23.88888888888889,69,0,1,0
2021-01-08 15:00:00,3910.911833763067,22.22222222222222,84,0,1,0
2021-01-08 16:00:00,3872.9418159595425,22.22222222222222,84,0,1,0
2021-01-08 17:00:00,892.1274094545015,22.22222222222222,84,0,1,0
2021-01-08 18:00:00,931.7775165413683,22.22222222222222,84,0,1,0
2021-01-08 19:00:00,911.952462997935,22.22222222222222,84,0,1,0
2021-01-08 20:00:00,892.1274094545015,22.22222222222222,84,0,1,0
2021-01-08 21:00:00,793.0021417373348,17.77777777777778,87,0,1,0
2021-01-08 22:00:00,713.7019275636012,17.77777777777778,87,0,1,0
2021-01-08 23:00:00,1903.2051401696033,17.77777777777778,87,0,1,0
2021-01-09 00:00:00,1982.5053543433369,19.444444444444443,90,0,1,0
2021-01-09 01:00:00,1982.5053543433369,19.444444444444443,90,0,1,0
2021-01-09 02:00:00,2022.1554614302033,19.444444444444443,90,0,1,0
2021-01-09 03:00:00,2024.6755953552158,27.22222222222222,30,0,1,0
2021-01-09 04:00:00,2604.8104248931436,27.22222222222222,30,0,1,0
2021-01-09 05:00:00,3725.7659947387997,27.22222222222222,30,0,1,0
2021-01-09 06:00:00,4558.418243563002,30.555555555555557,22,0,1,0
2021-01-09 07:00:00,5133.0087784659,30.555555555555557,22,0,1,0
